device_name,date,time,temp,humid,soil,soil_temp,salt,bat,batcharge,wifi_ssid,Gn
30c6f71d7da4,2023-01-18,01:44,9.2,77.0,64.0,4095.938,100.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,01:49,9.1,78.0,64.0,4095.938,100.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,01:55,9.0,79.0,66.0,4095.938,99.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,02:00,9.0,79.0,65.0,4095.938,100.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,02:05,8.9,79.0,65.0,4095.938,99.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,02:10,8.9,78.0,64.0,4095.938,99.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,02:16,8.8,78.0,64.0,4095.938,99.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,02:21,8.8,78.0,64.0,4095.938,99.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,02:26,8.7,78.0,65.0,4095.938,99.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,02:31,8.8,81.0,64.0,4095.938,98.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,02:36,8.7,80.0,66.0,4095.938,98.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,02:42,8.8,80.0,64.0,4095.938,98.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,02:47,8.8,81.0,64.0,4095.938,98.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,02:52,8.9,80.0,64.0,4095.938,98.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-18,02:57,8.7,80.0,64.0,4095.938,98.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,03:02,8.6,80.0,64.0,4095.938,98.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,03:08,8.6,80.0,64.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,03:13,8.6,80.0,65.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,03:18,8.6,78.0,65.0,4095.938,98.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,03:23,8.6,79.0,64.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,03:29,8.6,81.0,63.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,03:34,8.4,81.0,65.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,03:39,8.4,80.0,64.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,03:44,8.4,80.0,64.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,03:49,8.3,81.0,64.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,03:55,8.4,81.0,64.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,04:00,8.4,79.0,64.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,04:05,8.5,79.0,64.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,04:10,8.6,78.0,64.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,04:15,8.5,81.0,64.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,04:21,8.3,81.0,63.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,04:26,8.2,82.0,64.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,04:31,8.2,82.0,65.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,04:36,8.1,82.0,64.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,04:41,8.1,82.0,64.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,04:47,8.0,83.0,63.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,04:52,8.2,83.0,64.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,04:57,8.1,83.0,66.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,05:02,8.2,83.0,65.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,05:07,8.2,84.0,64.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,05:12,8.2,83.0,64.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
